Société Propriétaire;Type de détention;"Code Actif
AIREF SA";"Code actif
ALTAIX";Nom actif;Pays;Région;Ville;CP;Adresse;QP;Valeur Expertise Déc 2018 (QP);Typologie Principale;Fond; VM 
AVIVA VIE;Direct;2;2013;13 FENELON;France;Ile-de-France;PARIS;75010;13 RUE FENELON;1,000;7910000;Habitation;Aviva Vie PHF; 7 910 000   
AVIVA VIE;Direct;11;3061;ARRAS;France;Hauts-de-France;ARRAS;62000;PLACE DE VACQUERIE;1,000;740000;Habitation;Aviva Vie PHF; 740 000   
AVIVA VIE;Direct;20;6430;COUPOLE NIMES;France;Occitanie;NIMES;30000;GALERIE LA COUPOLE DES HALLES;1,000;17000000;Commerces;Aviva Vie PHF; 17 000 000   
AVIVA VIE;Direct;27;702;FORET DE BELLOY;France;Hauts-de-France;BELLOY;60490;FORET DE BELLOY;1,000;949193;Autres;Aviva Vie PHF; 949 193   
AVIVA VIE;Direct;31;705;GPT FOREST DE ST LOUIS LES BITCHE;France;;ST LOUIS;57620;GPT PRIVE DE GESTION FORESTIER;1,000;890300;Autres;Aviva Vie PHF; 890 300   
AVIVA VIE;Direct;37;6442;JUVENEL NIMES;France;Occitanie;NIMES;30000;5 RUE GENERAL PERRIER - GALERIE JUVENEL;1,000;13900000;Commerces;Aviva Vie PHF; 13 900 000   
AVIVA VIE;Direct;43;30881;LES JUSTICES A 1995;France;Ile-de-France;MEDAN;30881;LES JUSTICES A 1995;1,000;235000;Autres;Aviva Vie PHF; 235 000   
AVIVA VIE;Direct;44;30745;LES JUSTICES A236/A241;France;Ile-de-France;MEDAN;30881;LES JUSTICES A236/A241;1,000;361300;Autres;Aviva Vie PHF; 361 300   
AVIVA VIE;Direct;54;30745;Parcelle A 713;France;;;;;1,000;435;Autres;Aviva Vie PHF; 435   
AVIVA VIE;Direct;66;6170;SAINT OUEN;France;Ile-de-France;SAINT OUEN;93400;4/8 QUAI DE SEINE;1,000;18150000;Logistique;Aviva Vie PHF; 18 150 000   
AVIVA VIE;Direct;72;10804;TERRAINS DIVERS;France;Ile-de-France;VERNOUILLET;78540;;1,000;12400;Autres;Aviva Vie PHF; 12 400   
AVIVA VIE;Direct;73;10802;TERRES BS 44 ;France;Ile-de-France;TRIEL SUR SEINE;78510;TERRES BS 44 L'ILE LONGUE;1,000;1300;Autres;Aviva Vie PHF; 1 300   
AVIVA VIE;Direct;76;30074;VILLERSEXEL;France;Ile-de-France;PARIS;75007;2 RUE VILLERSEXEL;1,000;24300000;Habitation;Aviva Vie PHF; 24 300 000   
